Week,Date,Close Price,Volume,,,,,,
1,03/20/2017,500.12506,8.873B,,,,,,
5,03/17/2017,499.83392,10.376B,,,,,,
4,03/16/2017,504.71246,10.633B,,,,,,
3,03/15/2017,501.97733,7.91B,,,,,,
2,03/14/2017,500.81039,7.708B,,,,,,
1,03/13/2017,501.05017,9.168B,,,,,,
5,2017/10/3,496.57999,7.002B,,,,,,
4,2017/9/3,495.93976,8.457B,,,,,,
3,2017/8/3,499.30957,7.959B,,,,,,
2,2017/7/3,500.91461,8.033B,,,,,,
1,2017/6/3,500.05573,8.307B,,,,,,
5,2017/3/3,496.53986,8.099B,,,,,,
4,2017/2/3,498.67841,8.99B,,,,,,
3,2017/1/3,503.03082,10.326B,,,,,,
2,02/28/2017,503.29578,7.522B,,,,,,
1,02/27/2017,501.93314,9.867B,,,,,,
5,02/24/2017,505.93512,9.554B,,,,,,
4,02/23/2017,505.78455,9.954B,,,,,,
3,02/22/2017,507.4386,10.282B,,,,,,
2,02/21/2017,506.0257,11.484B,,,,,,
1,02/20/2017,505.28998,13.263B,,,,,,
5,02/17/2017,498.20053,11.46B,,,,,,
4,02/16/2017,501.7254,10.828B,,,,,,
3,02/15/2017,499.01022,12.764B,,,,,,
2,02/14/2017,500.0661,9.481B,,,,,,
1,02/13/2017,499.29892,12.014B,,,,,,
5,2017/10/2,496.01657,12.377B,,,,,,
4,2017/9/2,493.74045,9.756B,,,,,,
3,2017/8/2,492.22198,7.54B,,,,,,
2,2017/7/2,488.95676,6.375B,,,,,,
1,2017/6/2,492.29495,6.852B,,,,,,
5,2017/3/2,492.50406,5.519B,,,,,,
4,01/26/2017,492.50055,6.532B,,,,,,
3,01/25/2017,491.66278,5.838B,,,,,,
2,01/24/2017,490.60922,6.619B,,,,,,
1,01/23/2017,491.30032,7.556B,,,,,,
5,01/20/2017,487.9129,6.53B,,,,,,
4,01/19/2017,483.6763,6.616B,,,,,,
3,01/18/2017,487.7478,7.062B,,,,,,
2,01/17/2017,485.81223,6.945B,,,,,,
1,01/16/2017,481.50473,15.778B,,,,,,
5,01/13/2017,481.30713,8.418B,,,,,,
4,2017/12/1,481.86261,8.124B,,,,,,
3,2017/11/1,481.93314,9.107B,,,,,,
2,2017/10/1,484.94897,8.382B,,,,,,
1,2017/9/1,485.02652,8.371B,,,,,,
5,2017/6/1,483.08966,8.746B,,,,,,
4,2017/5/1,490.01706,8.834B,,,,,,
3,2017/4/1,487.56757,9.005B,,,,,,
2,2017/3/1,480.79224,8.657B,,,,,,
5,12/30/2016,476.97751,7.174B,,,,,,
4,12/29/2016,474.4371,7.009B,,,,,,
3,12/28/2016,473.08383,6.9B,,,,,,
2,12/27/2016,476.7113,7.549B,,,,,,
1,12/26/2016,478.11893,8.979B,,,,,,
5,12/23/2016,476.16705,9.744B,,,,,,
4,12/22/2016,480.16006,9.228B,,,,,,
3,12/21/2016,481.32755,10.825B,,,,,,
2,12/20/2016,476.49457,8.757B,,,,,,
1,12/19/2016,478.26776,8.164B,,,,,,
5,12/16/2016,479.93094,9.078B,,,,,,
4,12/15/2016,482.02509,11.496B,,,,,,
3,12/14/2016,491.09723,12.401B,,,,,,
2,12/13/2016,493.85559,12.111B,,,,,,
1,2016/12/12,494.38489,18.747B,,,,,,
5,2016/9/12,505.35199,15.03B,,,,,,
4,2016/8/12,501.93716,11.738B,,,,,,
3,2016/7/12,504.9903,11.435B,,,,,,
2,2016/6/12,503.12762,11.553B,,,,,,
1,2016/5/12,505.70029,18.085B,,,,,,
5,2016/2/12,513.19055,19.636B,,,,,,
4,2016/1/12,518.15125,18.017B,,,,,,
3,11/30/2016,513.02887,17.856B,,,,,,
2,11/29/2016,517.61536,23.692B,,,,,,
1,11/28/2016,511.84094,20.738B,,,,,,
5,11/25/2016,509.41025,15.362B,,,,,,
4,11/24/2016,504.01483,14.575B,,,,,,
3,11/23/2016,502.68054,16.239B,,,,,,
2,11/22/2016,503.76385,16.852B,,,,,,
1,11/21/2016,499.2616,14.643B,,,,,,
5,11/18/2016,496.11023,11.595B,,,,,,
4,11/17/2016,499.56171,12.156B,,,,,,
3,11/16/2016,498.82074,12.981B,,,,,,
2,11/15/2016,500.14868,13.457B,,,,,,
1,11/14/2016,500.94168,21.325B,,,,,,
5,2016/11/11,502.07474,19.878B,,,,,,
4,2016/10/11,497.47812,13.471B,,,,,,
3,2016/9/11,493.16879,13.911B,,,,,,
2,2016/8/11,497.00241,10.315B,,,,,,
1,2016/7/11,494.6275,9.988B,,,,,,
5,2016/4/11,496.28986,10.407B,,,,,,
4,2016/3/11,498.13998,12.622B,,,,,,
3,2016/2/11,493.99832,9.12B,,,,,,
2,2016/1/11,496.89377,7.494B,,,,,,
1,10/31/2016,492.85419,7.135B,,,,,,
5,10/28/2016,492.72394,9.313B,,,,,,
4,10/27/2016,493.0799,7.763B,,,,,,
3,10/26/2016,495.54651,9.802B,,,,,,
2,10/25/2016,497.57742,11.119B,,,,,,
1,10/24/2016,497.38983,15.301B,,,,,,
5,10/21/2016,492.06543,10.979B,,,,,,
4,10/20/2016,492.43298,7.924B,,,,,,
3,10/19/2016,492.76227,10.117B,,,,,,
2,10/18/2016,493.50418,10.286B,,,,,,
1,10/17/2016,486.54871,8.611B,,,,,,
5,10/14/2016,491.32751,8.232B,,,,,,
4,10/13/2016,490.90991,8.122B,,,,,,
3,2016/12/10,490.51816,6.867B,,,,,,
2,2016/11/10,491.76181,8.771B,,,,,,
1,2016/10/10,491.15308,8.052B,,,,,,
5,09/30/2016,488.01956,4.498B,,,,,,
4,09/29/2016,486.96246,5.545B,,,,,,
3,09/28/2016,484.04303,4.473B,,,,,,
2,09/27/2016,486.09619,5.846B,,,,,,
1,09/26/2016,483.38095,7.045B,,,,,,
5,09/23/2016,491.22961,5.799B,,,,,,
4,09/22/2016,494.12524,7.575B,,,,,,
3,09/21/2016,490.04446,5.914B,,,,,,
2,09/20/2016,488.41025,5.278B,,,,,,
1,09/19/2016,489.48087,5.883B,,,,,,
3,09/14/2016,485.60312,7.043B,,,,,,
2,09/13/2016,487.65768,6.718B,,,,,,
1,2016/12/9,488.03391,12.292B,,,,,,
5,2016/9/9,495.6077,8.266B,,,,,,
4,2016/8/9,500.82693,7.192B,,,,,,
3,2016/7/9,501.49619,10.294B,,,,,,
2,2016/6/9,500.06372,9.828B,,,,,,
1,2016/5/9,497.241,7.829B,,,,,,
5,2016/2/9,496.1843,8.279B,,,,,,
4,2016/1/9,494.97418,8.495B,,,,,,
3,08/31/2016,498.02362,7.957B,,,,,,
2,08/30/2016,495.85101,7.573B,,,,,,
1,08/29/2016,495.48093,7.704B,,,,,,
5,08/26/2016,495.97922,8.153B,,,,,,
4,08/25/2016,497.13376,10.059B,,,,,,
3,08/24/2016,500.37766,8.119B,,,,,,
2,08/23/2016,502.84839,9.292B,,,,,,
1,08/22/2016,501.47955,10.795B,,,,,,
5,08/19/2016,505.84305,11.996B,,,,,,
4,08/18/2016,507.52505,14.238B,,,,,,
3,08/17/2016,508.58652,13.885B,,,,,,
2,08/16/2016,509.85452,19.639B,,,,,,
1,08/15/2016,511.31964,22.054B,,,,,,
5,2016/12/8,496.2092,11.625B,,,,,,
4,2016/11/8,487.4584,10.104B,,,,,,
3,2016/10/8,488.63892,9.043B,,,,,,
2,2016/9/8,489.37424,9.107B,,,,,,
1,2016/8/8,485.62769,8.668B,,,,,,
5,2016/5/8,481.62381,7.72B,,,,,,
4,2016/4/8,482.15085,7.35B,,,,,,
3,2016/3/8,481.68259,7.286B,,,,,,
2,2016/2/8,481.31561,6.217B,,,,,,
1,2016/1/8,478.26224,8.7B,,,,,,
5,07/29/2016,482.60684,8.804B,,,,,,
4,07/28/2016,483.97388,11.278B,,,,,,
3,07/27/2016,482.37949,16.019B,,,,,,
2,07/26/2016,490.00946,8.105B,,,,,,
1,07/25/2016,483.78128,7.02B,,,,,,
5,07/22/2016,483.0835,8.603B,,,,,,
4,07/21/2016,486.99936,8.6B,,,,,,
3,07/20/2016,484.98361,7.27B,,,,,,
2,07/19/2016,484.94135,8.889B,,,,,,
1,07/18/2016,486.95621,11.031B,,,,,,
5,07/15/2016,489.70563,10.267B,,,,,,
4,07/14/2016,490.23993,10.753B,,,,,,
3,07/13/2016,491.021,17.52B,,,,,,
2,2016/12/7,489.33807,17.253B,,,,,,
1,2016/11/7,478.39453,13.853B,,,,,,
5,2016/8/7,477.40744,8.973B,,,,,,
4,2016/7/7,480.54645,11.86B,,,,,,
3,2016/6/7,480.69388,12.49B,,,,,,
2,2016/5/7,480.08963,13.023B,,,,,,
1,2016/4/7,480.85349,13.331B,,,,,,
5,2016/1/7,473.80997,7.175B,,,,,,
4,06/30/2016,473.93887,7.969B,,,,,,
3,06/29/2016,475.42313,10.372B,,,,,,
2,06/28/2016,471.73151,9.202B,,,,,,
1,06/27/2016,469.43832,8.327B,,,,,,
5,06/24/2016,464.24503,10.479B,,,,,,
4,06/23/2016,474.62915,6.775B,,,,,,
3,06/22/2016,476.43793,6.649B,,,,,,
2,06/21/2016,471.64749,8.797B,,,,,,
1,06/20/2016,473.29538,6.359B,,,,,,
5,06/17/2016,472.30389,8.54B,,,,,,
4,06/16/2016,469.59451,8.297B,,,,,,
3,06/15/2016,473.45389,8.739B,,,,,,
2,06/14/2016,466.48218,6.628B,,,,,,
1,06/13/2016,465.78986,9.298B,,,,,,
3,2016/8/6,482.08719,7.629B,,,,,,
2,2016/7/6,483.71704,6.893B,,,,,,
1,2016/6/6,484.20233,7.669B,,,,,,
5,2016/3/6,486.54852,10.149B,,,,,,
4,2016/2/6,481.43188,8.6B,,,,,,
3,2016/1/6,480.66232,11.315B,,,,,,
2,05/31/2016,481.56427,13.886B,,,,,,
1,05/30/2016,465.79626,6.31B,,,,,,
5,05/27/2016,466.68079,6.047B,,,,,,
4,05/26/2016,467.83276,6.039B,,,,,,
3,05/25/2016,466.76523,5.665B,,,,,,
2,05/24/2016,467.49002,5.873B,,,,,,
1,05/23/2016,470.73517,5.97B,,,,,,
5,05/20/2016,469.62003,5.608B,,,,,,
4,05/19/2016,468.03604,6.044B,,,,,,
3,05/18/2016,469.04691,8.272B,,,,,,
2,05/17/2016,473.20059,6.528B,,,,,,
1,05/16/2016,474.66049,5.946B,,,,,,
5,05/13/2016,470.71338,6.263B,,,,,,
4,2016/12/5,474.1947,7.877B,,,,,,
3,2016/11/5,475.00903,8.179B,,,,,,
2,2016/10/5,470.77332,6.885B,,,,,,
1,2016/9/5,470.06384,9.923B,,,,,,
5,2016/6/5,481.42264,10.868B,,,,,,
4,2016/5/5,494.13754,7.473B,,,,,,
3,2016/4/5,494.35651,9.086B,,,,,,
2,2016/3/5,495.0152,9.816B,,,,,,
5,04/29/2016,487.59598,5.803B,,,,,,
4,04/28/2016,488.18845,6.987B,,,,,,
3,04/27/2016,487.06393,6B,,,,,,
2,04/26/2016,489.90054,5.902B,,,,,,
1,04/25/2016,487.08112,6.752B,,,,,,
5,04/22/2016,488.12341,7.708B,,,,,,
4,04/21/2016,487.61197,10.475B,,,,,,
3,04/20/2016,491.77188,16.221B,,,,,,
2,04/19/2016,501.47159,8.087B,,,,,,
1,04/18/2016,498.5643,9.709B,,,,,,
5,04/15/2016,504.96216,9.981B,,,,,,
