,Actual,Predicted
2295,-0.0116219,-0.001109141
2296,-0.0056841,0.001913602
2297,-0.0046916,0.002671564
2298,0.0017608,-0.000799212
2299,-0.0158381,0.001467981
2300,0.0031833,-0.002519009
2301,-0.002407,0.001050163
2302,0.0037643,-0.001327119
2303,-0.0056625,0.002168685
2304,-0.0044365,-0.000338444
2305,-0.0078846,0.000305949
2306,-0.0002688,0.000167142
2307,-0.0049208,0.000731648
2308,0.0050042,-0.001271872
2309,0.0025967,0.000362133
2310,0.0227463,-0.000875884
2311,0.0076399,0.000709386
2312,-0.0173044,-0.00138074
2313,-0.0005035,0.000805085
2314,-0.0064614,-0.001406482
2315,0.0040124,0.001869703
2316,0.0099757,0.003818949
2317,0.0255783,-0.001013343
2318,0.0123497,-0.001061933
2319,-0.0026871,-0.00170664
2320,0.0013798,-0.000183106
2321,-0.0114691,-0.002620979
2322,0.0012772,0.001795647
2323,0.0141535,-7.86E-05
2324,-0.0027532,-1.60E-05
2325,0.0116647,0.000882151
2326,-0.0007072,0.000761571
2327,-0.0020576,0.000421037
2328,-0.0007272,0.000881265
2329,-0.0154003,0.001426814
2330,-0.0076032,-0.001513451
2331,0.0031444,0.000921608
2332,0.0080523,4.26E-05
2333,0.0014005,0.001253313
2334,0.0029244,-0.001989701
2335,0.0022672,0.000664849
2336,-0.0009242,0.000658409
2337,-0.0045993,0.000681461
2338,0.0106719,0.000673747
2339,-0.0137019,0.000563572
2340,0.0033562,-0.001892423
2341,0.002022,-0.000769801
2342,0.0024632,-0.000231855
2343,-0.0068741,0.002339069
2344,-0.0102589,0.000731182
2345,0.0014264,0.00062114
2346,-0.0131011,0.000415991
2347,-0.0076338,-0.002035907
2348,-0.0234755,0.000583038
2349,-0.028503,-0.000808926
2350,-0.0066949,0.002754884
2351,0.0008003,0.001922266
2352,0.0047598,0.001697192
2353,-0.0069473,-0.000660095
2354,-0.0044172,-0.002409169
2355,-0.0210426,0.001035803
2356,0.0008298,-0.00091181
2357,0.007635,0.001345204
2358,0.0093648,-0.001079406
2359,0.0216684,0.001294478
2360,-0.0022935,-7.39E-06
2361,0.0014677,-1.82E-05
2362,-0.0084247,-0.00238462
2363,0.005014,0.001149521
2364,-0.0190608,0.000578697
2365,-0.0006332,-0.003024277
2366,-0.0018933,0.000135465
2367,0.0034362,-0.001560985
2368,0.000826,0.003842337
2369,-0.0038165,-0.001238928
2370,-0.0038515,0.00025891
2371,0.038992,0.00089823
2372,-0.0002904,0.001674633
2373,0.0066086,0.003168253
2374,-0.0003507,5.67E-05
2375,8.54E-05,0.000783917
2376,0.0178154,0.001314331
2377,-0.0026301,0.000622749
2378,0.0097852,0.00135695
2379,-0.0083406,-0.000592367
2380,-0.012325,0.000887262
2381,-0.0013483,0.000144809
2382,-0.0106589,0.000683913
2383,-0.0012573,-0.001338257
2384,-0.0080675,0.00026809
2385,0.0022347,-0.00200083
2386,-0.0127716,0.001146541
2387,0.0037224,-0.002343382
2388,-0.0033453,0.00086512
2389,0.0052961,-0.001457103
2390,-0.0019002,0.001682035
2391,0.0025965,-0.000293322
2392,-0.0110792,0.000553578
2393,0.0028028,0.000152233
2394,-0.008133,8.65E-05
2395,0.0009781,-0.001421298
2396,0.0233589,0.001211313
2397,0.0081119,0.001460392
2398,-0.0006757,2.03E-06
2399,0.00605,0.000845512
2400,0.0069085,-0.001080434
2401,-0.0048014,0.001556178
2402,0.0002283,0.000777548
2403,0.0022645,0.000504007
2404,-0.0081934,0.000610816
2405,0.0087033,-0.000166594
2406,-0.004872,0.00095912
2407,0.0083949,-0.000363912
2408,-0.003886,0.000995036
2409,-0.0044443,0.000264038
2410,0.0089625,0.000554826
2411,0.0072115,0.000983652
2412,0.0164771,0.000979675
2413,0.0049406,-0.000242815
2414,0.0001893,-0.000626758
2415,0.0057276,-0.000199104
2416,-0.0070416,-0.000919933
2417,-0.0262047,0.000486828
2418,0.0051521,0.001911871
2419,-0.0182455,0.001380774
2420,-0.0093247,-0.002670599
2421,0.0001129,0.002015557
2422,0.0134628,-0.002963007
2423,0.0154683,0.002393973
2424,-0.0075365,-0.001554856
2425,-0.0157209,0.000401229
2426,0.0048438,0.001361431
2427,0.0149636,-0.001471853
2428,-0.0029311,-0.000492968
2429,0.0014892,-0.000372188
2430,-0.002236,0.001877708
2431,-0.0203482,0.000782531
2432,0.0037284,-0.001076426
2433,-0.0020201,0.001463574
2434,-0.0124564,-0.001107673
2435,0.0059272,0.002363608
2436,0.0107308,0.001805977
2437,-0.0001373,-0.000155922
2438,-0.0021933,0.000419504
2439,0.0078985,0.002198538
2440,0.0130871,8.17E-06
2441,0.0256952,0.000264332
2442,-0.0064891,-0.00105042
2443,0.0122008,0.000598751
2444,0.0014545,-0.003981057
2445,-0.0030024,0.000699346
2446,0.0025489,0.000605353
2447,0.0012579,0.001914262
2448,-0.0015122,0.000907893
2449,0.0129632,0.00036618
2450,0.0033293,0.00063814
2451,-0.0045778,0.000352777
