Date,Date2,DateID,Month,Year,Close,SMA,CCI,ROC,RSI
2008/8/29,2008.8,213 ,8.00 ,2008.00 ,21261.89 ,23205.44 ,-97.33 ,-11.35 ,37.06 
2008/9/30,2008.9,214 ,9.00 ,2008.00 ,18016.21 ,22510.93 ,-151.06 ,-31.17 ,28.43 
2008/10/31,2008.10,215 ,10.00 ,2008.00 ,13968.67 ,20435.50 ,-147.28 ,-55.45 ,18.97 
2008/11/28,2008.11,216 ,11.00 ,2008.00 ,13888.24 ,18661.35 ,-102.10 ,-51.51 ,18.84 
2008/12/31,2008.12,217 ,12.00 ,2008.00 ,14387.48 ,17375.60 ,-59.77 ,-48.27 ,22.82 
2009/1/30,2009.1,218 ,1.00 ,2009.00 ,13278.21 ,15683.52 ,-60.75 ,-46.37 ,18.81 
2009/2/27,2009.2,219 ,2.00 ,2009.00 ,12811.57 ,14391.73 ,-79.45 ,-47.35 ,19.07 
2009/3/31,2009.3,220 ,3.00 ,2009.00 ,13576.02 ,13651.70 ,-100.19 ,-40.58 ,26.99 
2009/4/30,2009.4,221 ,4.00 ,2009.00 ,15520.99 ,13910.42 ,126.62 ,-39.74 ,43.78 
2009/5/29,2009.5,222 ,5.00 ,2009.00 ,18171.00 ,14576.59 ,166.51 ,-27.10 ,57.91 
2009/6/30,2009.6,223 ,6.00 ,2009.00 ,18378.73 ,15289.42 ,116.19 ,-16.85 ,60.17 
2009/7/31,2009.7,224 ,7.00 ,2009.00 ,20573.33 ,16505.27 ,97.60 ,-9.49 ,69.78 
2009/8/31,2009.8,225 ,8.00 ,2009.00 ,19724.19 ,17657.38 ,91.13 ,-7.23 ,62.75 
2009/9/30,2009.9,226 ,9.00 ,2009.00 ,20955.25 ,18887.25 ,92.39 ,16.31 ,68.30 
